,train_loss,valid_loss,accuracy_breed,accuracy_species,w,id
0,0.4779662489891052,0.3705054521560669,0.04397834837436676,0.8186739087104797,0.0,1
1,0.38649511337280273,0.31335264444351196,0.041271988302469254,0.8504736423492432,0.0,1
2,0.3224627375602722,0.29978999495506287,0.04330175742506981,0.8633288145065308,0.0,1
0,0.4834092855453491,0.3567432761192322,0.04397834837436676,0.8267929553985596,0.0,2
1,0.3870028555393219,0.3188950717449188,0.05142083764076233,0.8477672338485718,0.0,2
2,0.3195437788963318,0.3028738796710968,0.058186739683151245,0.8565629124641418,0.0,2
0,0.47505563497543335,0.3794654905796051,0.033829499036073685,0.8125845789909363,0.0,3
1,0.38513538241386414,0.3108685314655304,0.04736129939556122,0.8592692613601685,0.0,3
2,0.3298909664154053,0.302679181098938,0.04668470844626427,0.8579161167144775,0.0,3
0,0.46382325887680054,0.3843654990196228,0.05209742859005928,0.798376202583313,0.0,4
1,0.3772183656692505,0.31058335304260254,0.050067659467458725,0.8518267869949341,0.0,4
2,0.3261415362358093,0.2991563081741333,0.05615697056055069,0.8599458932876587,0.0,4
0,0.48350274562835693,0.37175777554512024,0.03991881012916565,0.8200270533561707,0.0,5
1,0.39119815826416016,0.32290229201316833,0.03856562823057175,0.8443843126296997,0.0,5
2,0.32034674286842346,0.30617815256118774,0.037889041006565094,0.858592689037323,0.0,5
0,0.6705034375190735,0.5233947038650513,0.13193504512310028,0.8220568299293518,0.05,6
1,0.5440418720245361,0.4312879145145416,0.2002706378698349,0.8572394847869873,0.05,6
2,0.47366946935653687,0.4231279492378235,0.2212449312210083,0.8633288145065308,0.05,6
0,0.6663942337036133,0.5268756747245789,0.10622462630271912,0.8213802576065063,0.05,7
1,0.5433856248855591,0.44204282760620117,0.18673883378505707,0.8599458932876587,0.05,7
2,0.47084134817123413,0.43363645672798157,0.21515561640262604,0.8592692613601685,0.05,7
0,0.6754783987998962,0.5077341198921204,0.13464140892028809,0.8213802576065063,0.05,8
1,0.553605318069458,0.43559935688972473,0.1975642740726471,0.8667117953300476,0.05,8
2,0.4747294783592224,0.41715967655181885,0.22192151844501495,0.8700947165489197,0.05,8
0,0.6737611889839172,0.5050920844078064,0.15493910014629364,0.8200270533561707,0.05,9
1,0.5479481816291809,0.436671644449234,0.20568335056304932,0.8640053868293762,0.05,9
2,0.47208118438720703,0.4191456735134125,0.21244925260543823,0.8728010654449463,0.05,9
0,0.6740236282348633,0.5134896636009216,0.13937753438949585,0.8288227319717407,0.05,10
